document,metadata
"Login failure on portal. Includes steps to reproduce and screenshots.","{""status"": ""closed"", ""priority"": ""high"", ""timestamp"": ""2025-02-26T10:07:00Z""}"
"Grade discrepancy visible on the course page. Steps to reproduce and screenshots attached.","{""status"": ""in_progress"", ""priority"": ""high"", ""timestamp"": ""2025-04-12T15:32:00Z""}"
"Exam access not available through student dashboard. Details and screenshots included.","{""status"": ""resolved"", ""priority"": ""high"", ""timestamp"": ""2025-02-15T17:13:00Z""}"
"Assignment upload repeatedly failing with an unknown error. Attached full report and images.","{""status"": ""pending"", ""priority"": ""high"", ""timestamp"": ""2025-02-08T13:16:00Z""}"
"Course enrollment process displays an unexpected validation error. Logs and screenshots attached.","{""status"": ""pending"", ""priority"": ""high"", ""timestamp"": ""2025-01-19T17:43:00Z""}"
"Two-factor authentication code not received via email or SMS. Full reproduction steps provided.","{""status"": ""reviewing"", ""priority"": ""high"", ""timestamp"": ""2025-02-04T19:11:00Z""}"
"Payment receipt missing from account records. Attached transaction ID and supporting documentation.","{""status"": ""pending"", ""priority"": ""high"", ""timestamp"": ""2025-01-30T21:33:00Z""}"
"Broken lecture link on course resources page. Includes screenshots and reproduction notes.","{""status"": ""resolved"", ""priority"": ""high"", ""timestamp"": ""2025-04-05T07:08:00Z""}"
"Profile update changes not saving after submission. Attached screenshots and request payload.","{""status"": ""pending"", ""priority"": ""high"", ""timestamp"": ""2025-03-28T03:28:00Z""}"
"Mobile app crashes immediately upon startup. Included system logs and crash report for review.","{""status"": ""in_progress"", ""priority"": ""high"", ""timestamp"": ""2025-01-25T00:33:00Z""}"
