id,document,metadata
11,Introduction to AI: Core concepts and applications; practical labs and projects.,"{""program_id"": ""ce6b78fe-4622-4b10-9e04-758caed1ebc9"", ""exam_id"": ""3fd3e895-33ac-4167-ac19-a1bcdf895e0f"", ""name"": ""Introduction to AI""}"
12,"Data Structures: Abstract data types, trees, graphs, and algorithmic analysis.","{""program_id"": ""a2bba807-79bf-46d8-844f-44492e577206"", ""exam_id"": ""995cc778-aaed-438d-b608-22e27d579b57"", ""name"": ""Data Structures""}"
13,Web Development: Frontend and backend fundamentals; REST APIs and deployment.,"{""program_id"": ""8369462b-e5a0-47df-b960-823b743672fe"", ""exam_id"": ""bf7d6f05-7fde-48f2-a63b-6c4359ca0d34"", ""name"": ""Web Development""}"
14,Machine Learning: Supervised and unsupervised learning; model evaluation.,"{""program_id"": ""c7740f75-1138-446e-9fd2-b0e4f29a1a03"", ""exam_id"": ""6d041b71-0626-493e-b78b-5cf0f7ac45d0"", ""name"": ""Machine Learning""}"
15,"Operating Systems: Processes, memory, scheduling, and concurrency basics.","{""program_id"": ""10a751b2-fbf1-4d65-bd9d-a3f9c0fe240d"", ""exam_id"": ""0e68b2e1-9377-4d3d-bc53-2c5eae12d036"", ""name"": ""Operating Systems""}"
16,"Database Systems: Relational modeling, SQL, indexing, and transactions.","{""program_id"": ""2ea6e4d8-ea13-4fc3-97dd-89494493f282"", ""exam_id"": ""ed0c52cf-a162-47fe-9166-eb5887812403"", ""name"": ""Database Systems""}"
17,"Computer Networks: OSI model, routing, switching, and network security.","{""program_id"": ""028acd14-81eb-48fd-b104-49a83ae21c40"", ""exam_id"": ""4c3ea697-a877-46cd-bbaf-2043b867c00f"", ""name"": ""Computer Networks""}"
18,"Software Architecture: Requirements, design patterns, testing, and CI/CD.","{""program_id"": ""c6493e00-f9b1-4a40-b7fb-54d42d897fa8"", ""exam_id"": ""843ae80f-2bff-4653-9a58-232854860eed"", ""name"": ""Software Architecture""}"
19,"Cybersecurity: Threat models, cryptography basics, and secure coding.","{""program_id"": ""92cb8e92-ecb7-4769-87e1-108a15bc2fc7"", ""exam_id"": ""373434e1-040e-42eb-82de-46f7d0612dcb"", ""name"": ""Cybersecurity""}"
20,"Cloud Computing: Virtualization, containerization, and distributed systems.","{""program_id"": ""b5ac1fca-a318-47f8-aa13-d2859086fe94"", ""exam_id"": ""dc1aba35-fd05-43ee-834f-ef4b655a7070"", ""name"": ""Cloud Computing""}"
