id,document,metadata
11,"Computer Science program overview: Focus on algorithms, systems, and software engineering foundations.","{""name"": ""Computer Science""}"
12,Software Engineering program overview: Training in scalable systems and product development workflows.,"{""name"": ""Software Engineering""}"
13,Information Systems program overview: Emphasis on business process integration and analytics.,"{""name"": ""Information Systems""}"
14,"Artificial Intelligence program overview: Specialization in ML, NLP, and knowledge representation.","{""name"": ""Artificial Intelligence""}"
15,Cybersecurity program overview: Preparation for defensive security and risk management roles.,"{""name"": ""Cybersecurity""}"
16,"Data Science program overview: Statistics, machine learning, and data engineering tracks.","{""name"": ""Data Science""}"
17,"Computer Engineering program overview: Digital systems design, embedded, and hardware-software co-design.","{""name"": ""Computer Engineering""}"
18,"Business IT program overview: IT management, enterprise systems, and strategy.","{""name"": ""Business IT""}"
19,"Digital Media program overview: Interactive media, design, and content production.","{""name"": ""Digital Media""}"
20,Cloud Computing program overview: Cloud-native architectures and platform engineering.,"{""name"": ""Cloud Computing""}"
