document,metadata
"Student Handbook: Comprehensive guide to student resources, rules, and procedures.","{""name"": ""Student Handbook"", ""valid_from"": ""2024-09-01T00:00:00Z"", ""timestamp"": ""2025-04-19T23:51:00Z""}"
"Exam Policy: Policies for scheduling, grading, and retakes during exam periods.","{""name"": ""Exam Policy"", ""valid_from"": ""2024-09-08T00:00:00Z"", ""timestamp"": ""2025-04-08T03:00:00Z""}"
"Academic Integrity: Standards for honest work, citation, and misconduct handling.","{""name"": ""Academic Integrity"", ""valid_from"": ""2024-09-15T00:00:00Z"", ""timestamp"": ""2025-03-16T15:12:00Z""}"
"Thesis Guidelines: Formatting rules, submission process, and evaluation criteria.","{""name"": ""Thesis Guidelines"", ""valid_from"": ""2024-09-22T00:00:00Z"", ""timestamp"": ""2025-01-11T14:58:00Z""}"
"Scholarship Info: Eligibility, application timelines, and required documentation.","{""name"": ""Scholarship Info"", ""valid_from"": ""2024-09-29T00:00:00Z"", ""timestamp"": ""2025-03-03T22:14:00Z""}"
"Course Catalog: List of all courses, prerequisites, and credit details.","{""name"": ""Course Catalog"", ""valid_from"": ""2024-10-06T00:00:00Z"", ""timestamp"": ""2025-03-11T06:04:00Z""}"
"Internship Guide: How to apply, find placements, and report internship progress.","{""name"": ""Internship Guide"", ""valid_from"": ""2024-10-13T00:00:00Z"", ""timestamp"": ""2025-03-15T05:59:00Z""}"
"Exam Schedule: Dates, times, rooms, and proctoring guidance for exams.","{""name"": ""Exam Schedule"", ""valid_from"": ""2024-10-20T00:00:00Z"", ""timestamp"": ""2025-03-02T14:24:00Z""}"
Graduation Checklist: Steps to finalize studies and prepare for commencement.,"{""name"": ""Graduation Checklist"", ""valid_from"": ""2024-10-27T00:00:00Z"", ""timestamp"": ""2025-03-24T09:27:00Z""}"
"Library Policy: Borrowing limits, fines, and digital archive usage policies.","{""name"": ""Library Policy"", ""valid_from"": ""2024-11-03T00:00:00Z"", ""timestamp"": ""2025-04-30T23:07:00Z""}"
