id,document,metadata
11,"Comprehensive test on search, logic, and probabilistic reasoning.","{""course_id"": 11, ""name"": ""AI Final Exam"", ""passing_score"": 6.9}"
12,"Covers trees, graphs, hashing, and complexity analysis.","{""course_id"": 12, ""name"": ""Data Structures Midterm"", ""passing_score"": 8.3}"
13,"Full-stack build-and-explain questions and debugging tasks.","{""course_id"": 13, ""name"": ""Web Dev Final"", ""passing_score"": 7.4}"
14,"Short-answer questions on models, bias-variance, and metrics.","{""course_id"": 14, ""name"": ""ML Quiz"", ""passing_score"": 8.1}"
15,"Processes, synchronization, and memory management problems.","{""course_id"": 15, ""name"": ""OS Midterm"", ""passing_score"": 9.3}"
16,"SQL queries, normalization, and transaction scenarios.","{""course_id"": 16, ""name"": ""Database Final"", ""passing_score"": 8.8}"
17,"Routing, TCP/IP stack, and troubleshooting exercises.","{""course_id"": 17, ""name"": ""Networks Exam"", ""passing_score"": 7.6}"
18,"Design, testing strategies, and code review artifacts.","{""course_id"": 18, ""name"": ""SE Project Exam"", ""passing_score"": 9.4}"
19,"Threat analysis, cryptography basics, and incident response.","{""course_id"": 19, ""name"": ""Cybersecurity Assessment"", ""passing_score"": 7.5}"
20,"Cloud primitives, scaling strategies, and fault-tolerance.","{""course_id"": 20, ""name"": ""Cloud Systems Exam"", ""passing_score"": 8.3}"
